system,parameter,value,n_runs,ga_best_fitness_mean,ga_best_fitness_std,critic_score_mean,critic_score_std,novelty_dist_aist_mean,novelty_dist_aist_std,novelty_score_mean,novelty_score_std,target_dist_mean,target_dist_std,smoothness_mean,smoothness_std,upright_mean,upright_std,bone_std_mean,bone_std_std,runtime_s_mean,runtime_s_std,collapse_rate
System2,ddim_steps,100,9,,,0.7488496287001504,0.2532787575502886,855.1386990017361,232.29504973716814,0.7479607338639579,0.25304475389139686,0.18115037129984968,0.2532787575502886,4.572296831342909,4.110218598044221,76.66666666666667,35.00991922933334,5.852794700198704,2.745424312867335,6.772410675896229,3.234621394585921,0.5555555555555556
System2,ddim_steps,150,9,,,0.8326905303531222,0.21313639306994248,1596.606641981337,1950.783186519434,0.8318157501080478,0.2128417927244703,0.09988362524244523,0.21179250607297542,13.51214771800571,25.799081853408275,67.22222222222223,38.88194382429401,7.028446012073093,5.415394502718524,8.091098930557362,4.116633978763389,0.2222222222222222
System2,ddim_steps,200,9,,,0.9019271731376648,0.01517760328204252,888.3418307834202,123.28184335530212,0.900897341753354,0.015202383584900498,0.028982289367251963,0.01311426575706906,4.733454174465603,3.652087386021615,90.0,26.457513110645905,5.631638950771755,1.6412083983565433,10.724992338011766,1.8778309585893944,0.0
System2,guidance_scale,1.0,9,,,0.38210728930102456,0.37423534577312734,802.4938659667969,260.21401437036184,0.3817050506581759,0.3739514418791831,0.5478927106989755,0.37423534577312734,4.88817638821072,4.545623057671548,76.48148148148148,35.281058465127614,5.4519144429100885,2.881127605977484,7.479727745224308,2.7436570228046757,0.7777777777777778
System2,guidance_scale,2.0,9,,,0.4665875666671329,0.38897834318771807,765.1862419976128,223.20746836484543,0.46595089445242815,0.388477490601916,0.46341243333286714,0.38897834318771807,4.977432714568244,3.8327396189234233,66.48148148148148,40.02121351063955,6.047912120819092,2.182942555215922,7.429625402553938,2.8091157597308034,0.7777777777777778
System2,guidance_scale,3.0,9,,,0.7488496287001504,0.2532787575502886,855.1386990017361,232.29504973716814,0.7479607338639579,0.25304475389139686,0.18115037129984968,0.2532787575502886,4.572296831342909,4.110218598044221,76.66666666666667,35.00991922933334,5.852794700198704,2.745424312867335,6.82024475456112,3.2274367448286325,0.5555555555555556
System2,guidance_scale,4.0,9,,,0.7221555709838867,0.3018115436794228,1874.6552395290798,1778.42503860659,0.7214806551195283,0.30145416548063675,0.20784442901611333,0.3018115436794228,24.075250387191772,36.52877161545634,57.22222222222222,41.649996665332665,14.569985018836128,15.557819290969517,5.858895990751787,3.2602811274683225,0.4444444444444444
System2,retry_attempts,1,9,,,0.7488496287001504,0.2532787575502886,855.1386990017361,232.29504973716814,0.7479607338639579,0.25304475389139686,0.18115037129984968,0.2532787575502886,4.572296831342909,4.110218598044221,76.66666666666667,35.00991922933334,5.852794700198704,2.745424312867335,7.360553754441854,3.5567533395980515,0.5555555555555556
System2,retry_attempts,2,9,,,0.7961617377069261,0.24234945841174846,892.3433566623264,216.8506097333642,0.7952217731518625,0.24207395502597115,0.1338382622930739,0.24234945841174846,9.65068875418769,16.227553846744204,99.44444444444444,1.6666666666666667,5.867664893468221,3.2497106276952947,13.730457573896274,4.483739599432874,0.2222222222222222
System2,retry_attempts,3,9,,,0.9042103025648329,0.01908210843780169,811.2664523654514,180.98984108008554,0.9030498308968625,0.019099019144582056,0.026343227492438462,0.018211605610050193,2.2595460282431707,0.5518063986030349,100.0,0.0,4.103523943159315,1.0243990720771132,19.172076203666318,6.746123146760597,0.0
System2,target_realism,0.8,9,,,0.6213933146662183,0.2621240397053835,2817.671440972222,5767.582095484744,0.6207074652277634,0.26178264320763045,0.18212758733166592,0.2593841522095554,30.3248018556171,73.9019214247397,75.37037037037037,35.34333366517512,16.883717642890083,33.40580249919337,5.6512043934263705,3.0603832663530026,1.0
System2,target_realism,0.9,9,,,0.8862235148747762,0.03228632454936454,1193.5833943684895,894.1555904671,0.8852540137660511,0.03189779060381042,0.02549448543124729,0.02290649148786237,9.671764135360718,12.709575836501065,68.88888888888889,36.89323936863109,6.512201415167914,3.4959866940072053,5.448791977031053,2.5569201174722243,0.4444444444444444
System2,target_realism,0.93,9,,,0.7488496287001504,0.2532787575502886,855.1386990017361,232.29504973716814,0.7479607338639579,0.25304475389139686,0.18115037129984968,0.2532787575502886,4.572296831342909,4.110218598044221,76.66666666666667,35.00991922933334,5.852794700198704,2.745424312867335,6.8235918100043715,3.2110924847958855,0.5555555555555556
