system,parameter,value,seed,clip_idx,ga_best_fitness,critic_score,novelty_dist_aist,novelty_score,target_dist,smoothness_cm_std,upright_pct,bone_std_cm,runtime_s,collapse
System2,guidance_scale,2.0,1,0,,0.12520015239715576,794.8223876953125,0.12504283067018132,0.8047998476028443,2.0732548236846924,100.0,3.6314761638641357,9.038829750032164,1
System2,guidance_scale,2.0,2,0,,0.6939477324485779,2113.31982421875,0.693619519221563,0.23605226755142217,45.902339935302734,6.666666666666667,18.340370178222656,8.960725958982948,1
System2,guidance_scale,2.0,0,1,,0.8805369734764099,1181.5648193359375,0.879792374145296,0.04946302652359014,10.655597686767578,36.666666666666664,9.224230766296387,2.812346625025384,0
System2,guidance_scale,2.0,1,1,,0.12790937721729279,783.7246704101562,0.12774637816547194,0.8020906227827073,2.0001935958862305,100.0,3.9954495429992676,9.121601917024236,1
System2,guidance_scale,2.0,2,1,,0.8236188292503357,555.9935302734375,0.8221401427226017,0.10638117074966436,2.981614589691162,100.0,7.071741104125977,9.03812141600065,1
System2,guidance_scale,2.0,0,2,,0.8837698101997375,1182.5421142578125,0.8830230942193317,0.0462301898002625,10.478562355041504,36.666666666666664,9.254257202148438,2.9348288329783827,0
System2,guidance_scale,2.0,1,2,,0.1292598694562912,756.10888671875,0.12908914121399506,0.8007401305437089,1.82211434841156,100.0,3.8705434799194336,9.021893666998949,1
System2,guidance_scale,2.0,2,2,,0.15047894418239594,686.5555419921875,0.15026008339953267,0.7795210558176041,1.4802346229553223,100.0,3.2729439735412598,8.96907862497028,1
System2,guidance_scale,3.0,0,0,,0.8876499533653259,1173.5374755859375,0.8868942091069978,0.04235004663467412,9.925202369689941,35.0,9.369539260864258,2.7142452920088544,0
System2,guidance_scale,3.0,1,0,,0.9232971668243408,767.2359619140625,0.9220953262277044,0.0067028331756592285,2.703516960144043,100.0,3.024038314819336,6.903496958024334,0
System2,guidance_scale,3.0,2,0,,0.8059479594230652,829.0023803710938,0.8049769405700076,0.12405204057693486,2.0738611221313477,100.0,5.7941694259643555,9.242249874980189,1
System2,guidance_scale,3.0,0,1,,0.8871567249298096,1421.8148193359375,0.8865332026605209,0.04284327507019048,9.11508846282959,36.666666666666664,9.809799194335938,2.5205530840321444,0
System2,guidance_scale,3.0,1,1,,0.9284161925315857,743.6068725585938,0.9271693383502089,0.0015838074684143555,3.1197280883789062,100.0,3.4217379093170166,5.905114917026367,0
