variant,seed,clip_idx,critic_score,fgd,bas,novelty_dist_aist,novelty_score,target_dist,smoothness_cm_std,upright_pct,bone_std_cm,diversity_proxy,runtime_s,collapse
A5,2,1,0.7281004339456560,1024.776663047660,0.24209963868686300,1115.8783162434900,0.727448527266695,0.20189956605434400,29.462215423584000,100.0,15.092342376709000,,36.79397316701940,1
A5,3,1,0.7555943801999090,326.3817305769940,0.11467840242245200,824.9938151041670,0.7546796101781690,0.17440561980009100,11.206625938415500,100.0,11.299799919128400,,21.213035915978300,1
A5,4,1,0.9025424867868420,716.975990780868,0.1740454444798220,1020.2242838541700,0.9016587019992530,0.027457513213157700,10.58797836303710,88.42592592592590,6.078495025634770,,40.07321950001640,0
A5,0,2,0.676785372197628,9553.977115189050,0.1649148206169980,3915.7132771809900,0.6766125779887330,0.253214627802372,89.94548034667970,66.20370370370370,41.94266128540040,,50.31813245796370,1
A5,1,2,0.7354925945401190,925.8055773786140,0.04732845247775480,1241.1326497395800,0.7349004737270210,0.19450740545988100,16.638402938842800,73.14814814814820,10.54672622680660,,51.86953637498660,1
A5,2,2,0.7034400682896380,446.5355190168520,0.0877132590855122,866.2039794921880,0.7026289095715910,0.22655993171036200,9.767252922058110,100.0,8.244729995727540,,45.29907720896880,1
A5,3,2,0.8494864255189900,447.14166615215200,0.0764124047705119,953.3057047526040,0.8485962637801590,0.08051357448101050,16.883386611938500,100.0,15.817177772522000,,19.808567582978900,1
A5,4,2,0.9012609273195270,544.8418218593450,0.08986919800629170,1064.6381225585900,0.9004151796794600,0.028739072680473400,10.103924751281700,90.27777777777780,5.371860504150390,,34.19533833296740,1
A6_080,0,0,0.8044930845499040,9004.633007362850,0.033569171036921800,3349.0634765625,0.8042529419107630,0.004493084549903830,50.82268142700200,79.16666666666670,18.637950897216800,,103.00046754197700,1
A6_080,1,0,0.7814923673868180,403.8368194544870,0.03607249806543780,999.57080078125,0.7807113208414090,0.018507632613182100,13.768242835998500,100.0,10.09164047241210,,88.92619529197690,1
A6_080,2,0,0.7904554754495620,379.9761346744370,0.054108789552702100,737.7113037109380,0.789385428908405,0.009544524550437970,6.972866535186770,100.0,6.284462928771970,,49.29208975000070,1
A6_080,3,0,0.7958160489797590,611.5212093618670,0.22077603233525400,1041.8399658203100,0.7950529251304030,0.004183951020240830,6.2755255699157700,100.0,8.16889762878418,,36.36552258301530,1
A6_080,4,0,0.8065284937620160,947.9987529198220,0.05410879209103210,1199.0086669921900,0.8058563915381350,0.006528493762016250,11.590841293335000,87.96296296296300,5.685665130615230,,43.2230756249628,1
A6_080,0,1,0.797377422451973,1034.399610090310,0.1488446264101780,1171.8130900065100,0.7966975379680370,0.002622577548027080,9.81701946258545,100.0,14.810633659362800,,44.1708406250109,1
A6_080,1,1,0.7992546260356900,1310.4214090606400,0.18367012803534600,1416.873046875,0.7986909263252000,0.0007453739643097370,14.76749324798580,85.18518518518520,10.152481079101600,,46.960808416013600,1
A6_080,2,1,0.8064277470111850,217.2558782973620,0.2778302879821150,692.6324055989580,0.8052651315674690,0.006427747011184650,4.959971904754640,100.0,7.0835442543029800,,60.214760250004500,1
A6_080,3,1,0.7905753999948500,1004.3711814898400,0.31386139462601700,1115.2893676757800,0.7898671827324740,0.009424600005149890,7.996779441833500,100.0,8.266377449035650,,51.41513812501220,1
A6_080,4,1,0.779290959239006,1595.4275378430500,0.18188482934387700,1213.3211669921900,0.7786492089505140,0.020709040760994000,7.756460666656490,66.20370370370370,7.2443461418151900,,60.105933207960300,1
A6_080,0,2,0.8155936300754550,710.1914512787060,0.12797621238107600,1104.6234944661500,0.8148559525259470,0.015593630075454700,10.807538986206100,100.0,8.550362586975100,,115.55412766698300,1
A6_080,1,2,0.7960925400257110,1172.8355426982900,0.2688255210116940,1123.4305216471400,0.7953845438225670,0.003907459974288990,21.73166275024410,76.85185185185190,8.393763542175290,,50.502701040997600,1
A6_080,2,2,0.7912960648536680,344.1085118845870,0.23113983526718100,817.6991373697920,0.7903295363345400,0.008703935146331830,5.300414562225340,100.0,7.279074668884280,,56.18862883403200,1
A6_080,3,2,0.791567862033844,967.4573367561760,0.20676849738241700,1084.5861409505200,0.790838700309892,0.00843213796615605,5.249594688415530,100.0,8.271384239196780,,34.44861166598280,1
A6_080,4,2,0.8156075924634930,1031.0463848281500,0.1346131992722010,1206.3014729817700,0.8149320299708470,0.015607592463493300,9.434588432312010,84.25925925925930,6.150920867919920,,55.766001374984600,1
A6_090,0,0,0.8946456909179690,7805.160214524510,0.07129023390146690,2835.5447998046900,0.8943302911079680,0.005354309082031270,54.396732330322300,75.0,54.01997375488280,,57.25770800001920,1
A6_090,1,0,0.8995470553636550,2615.906034156710,0.18789583123301100,1463.6807657877600,0.8989328962401280,0.00045294463634493200,7.6443400382995600,82.87037037037040,9.006034851074220,,90.1263367079664,0
A6_090,2,0,0.8994510322809220,477.5178097073070,0.10665186802654600,895.0262858072920,0.8984472101313620,0.0005489677190780860,9.137459754943850,100.0,8.798830032348630,,67.96798883297020,0
